[16-Aug-2019 11:18:34 UTC] PHP Warning:  require_once(E:/xampp/htdocs/themecentury/themes/wp-content/plugins/blogmagazine-pro/inc/customizer/editor/panel-custom-editor.php): failed to open stream: No such file or directory in E:\xampp\htdocs\themecentury\themes\wp-content\plugins\blogmagazine-pro\inc\customizer\init.php on line 30
[16-Aug-2019 11:18:34 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:/xampp/htdocs/themecentury/themes/wp-content/plugins/blogmagazine-pro/inc/customizer/editor/panel-custom-editor.php' (include_path='E:\xampp\php\PEAR') in E:\xampp\htdocs\themecentury\themes\wp-content\plugins\blogmagazine-pro\inc\customizer\init.php on line 30
[16-Aug-2019 11:19:03 UTC] PHP Warning:  require_once(E:/xampp/htdocs/themecentury/themes/wp-content/plugins/blogmagazine-pro/inc/customizer/editor/panel-custom-editor.php): failed to open stream: No such file or directory in E:\xampp\htdocs\themecentury\themes\wp-content\plugins\blogmagazine-pro\inc\customizer\init.php on line 30
[16-Aug-2019 11:19:03 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:/xampp/htdocs/themecentury/themes/wp-content/plugins/blogmagazine-pro/inc/customizer/editor/panel-custom-editor.php' (include_path='E:\xampp\php\PEAR') in E:\xampp\htdocs\themecentury\themes\wp-content\plugins\blogmagazine-pro\inc\customizer\init.php on line 30
[16-Aug-2019 11:20:30 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:32 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:32 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:35 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:35 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:35 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:37 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:40 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:40 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:40 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:40 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:41 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:41 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:20:42 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'dglib_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
[16-Aug-2019 11:21:30 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'blogmagazine_pro_sanitize_javascript' not found or invalid function name in E:\xampp\htdocs\themecentury\themes\wp-includes\class-wp-hook.php on line 286
